Genre,Length,Theme,Title
Alamat,Long,Kabayanihan,Alamat ng Gagamba
Alamat,Long,Pagkakaibigan,Alamat ng Sili
Alamat,Long,Katapatan,Alamat ng Petsay
Alamat,Long,Matulungin,Alamat ng Aswang
Alamat,Long,Kabayanihan,Alamat ng Singkamas
Alamat,Long,Pagkakaibigan,Ang Alamat ng Mindanao
Alamat,Long,Kasipagan,Alamat ng Hipon
Alamat,Long,Kabayanihan,Alamat ng Kamatis
Alamat,Long,Pagkakaibigan,Alamat ng Waling-Waling
Alamat,Long,Matulungin,Alamat ng Pating
Alamat,Long,Katapatan,Alamat ng Agila
Alamat,Long,Kasipagan,Alamat ng Ibon
Pabula,Long,Matulungin,Ang Agila at ang Maya
Kwentong Bayan,Long,Kabayanihan,Ang Kuwento ni Kaibigang Lakay
Kwentong Bayan,Long,Pagkakaibigan,Ang Kuwento ng Bayan ng Pag-asa
Kwentong Bayan,Long,Katapatan,Si Maria at ang Ahas
Pabula,Long,Kasipagan,"Ang Pusa, Aso, at Daga"
Alamat,Long,Kabayanihan,Alamat ng Dila
Alamat,Long,Matulungin,Alamat ng Tainga
Alamat,Long,Pagkakaibigan,Alamat ng Mata ng Bayan
Pabula,Long,Katapatan,Ang Tigre at ang Leon
Pabula,Long,Kasipagan,Ang mga Langgam at ang Alon
Alamat,Long,Matulungin,Ang Alamat ng Ulan
Alamat,Long,Kabayanihan,Alamat ng Kidlat
Alamat,Long,Pagkakaibigan,Ang Araw at ang Buwan
Kwentong Bayan,Long,Kabayanihan,Si Juan at ang mga Alimango
Alamat,Long,Pagkakaibigan,Bakit Mataas ang Langit?
Alamat,Short,Matulungin,Bakit mas Maliwanag ang Araw kaysa sa Buwan?
Kwentong Bayan,Long,Katapatan,Ang Diwata ng Karagatan
Alamat,Long,Kasipagan,Kung Bakit may Tagsibol at Taglagas
Alamat,Long,Matulungin,Alamat ng Pakwan
Alamat,Long,Kabayanihan,Alamat ng Baguio: Mina ng Ginto
Alamat,Long,Pagkakaibigan,Alamat ng Pilipinas
Pabula,Long,Katapatan,Si Dagang Bayan at Dagang Bukid
Alamat,Long,Kasipagan,Alamat ng Langka
Alamat,Long,Kabayanihan,Alamat ng Santan
Alamat,Long,Matulungin,Alamat ng Upo
Kwentong Bayan,Short,Pagkakaibigan,Bakit Nagbago si Jose?
Alamat,Long,Katapatan,Alamat ng Bundok Arayat
Alamat,Long,Kasipagan,Alamat ng Okra
Kwentong Bayan,Long,Matulungin,Si Pepe at ang Lobo
Alamat,Long,Kabayanihan,Alamat ng Malunggay
Alamat,Long,Pagkakaibigan,Alamat ng Luya
Pabula,Long,Katapatan,Ang Unggoy at Paru-paro
Alamat,Long,Kasipagan,Bakit Hati ang Kuko ng Kalabaw?
Alamat,Long,Katapatan,Alamat ng Bawang
Alamat,Long,Kabayanihan,Ang Alamat ng Ibong Adarna
Alamat,Long,Matulungin,Alamat ng Alitaptap
Alamat,Long,Pagkakaibigan,Alamat ng Kalabasa
Pabula,Long,Kasipagan,Ang Mayabang na Palaka
Alamat,Long,Katapatan,Alamat ng Suha
Pabula,Short,Matulungin,Ang Aso at ang Anino
Pabula,Short,Kabayanihan,Ang Uwak at ang Banga
Pabula,Short,Pagkakaibigan,Ang Kampanilya at ang Pusa
Pabula,Long,Kasipagan,Ang Alakdan at ang Palaka
Pabula,Long,Kabayanihan,"Si Mario, Si Ana, at ang Isda"
Pabula,Long,Pagkakaibigan,Ang Araw at ang Hangin
Kwentong Bayan,Long,Matulungin,Ang Matalinong Pintor
Alamat,Long,Katapatan,Alamat ng Bahaghari
Alamat,Long,Kasipagan,Bakit Dala-dala ni Pagong ang kaniyang Bahay?
Kwentong Bayan,Long,Matulungin,Ang Batang Maikli ang Isang Paa
Pabula,Long,Kabayanihan,Ang Pagong at ang Kalabaw
Pabula,Long,Pagkakaibigan,Ang Uwak at ang Gansa
Pabula,Long,Katapatan,Si Alitaptap at Si Paruparo
Alamat,Long,Kasipagan,Alamat ng Bulaklak
Kwentong Bayan,Long,Kabayanihan,Ang Matalik na Magkaibigan
Pabula,Long,Matulungin,"Araw, Buwan, at Kuliglig"
Kwentong Bayan,Long,Pagkakaibigan,Ang Babaing Maggagatas
Pabula,Long,Katapatan,Ang Kabayo at ang Mangangalakal
Kwentong Bayan,Long,Kasipagan,Ang Bata at Ang Aso
Pabula,Long,Matulungin,Si Mahistrado Kwago
Alamat,Long,Kabayanihan,Alamat ng Daigdig
Alamat,Long,Pagkakaibigan,Bakit Maalat and Dagat?
Alamat,Long,Katapatan,Ang Alamat ng Unang Sirena
Alamat,Long,Kasipagan,Ang Pinagmulan ng Tagalog
Alamat,Long,Katapatan,Ang Alamat ng Unggoy
Alamat,Long,Kabayanihan,Ang Alamat ng Batuktok 
Alamat,Long,Matulungin,Ang Alamat ng Lamok
Alamat,Short,Pagkakaibigan,Alamat ng Duhat
Alamat,Long,Kasipagan,Alamat ng Papaya
Alamat,Long,Katapatan,Bakit May Korona Ang Bayabas?
Alamat,Short,Matulungin,Alamat ng Mindanao
Alamat,Long,Kabayanihan,Alamat ng Panay
Alamat,Long,Pagkakaibigan,Alamat ng Bohol
Alamat,Short,Kasipagan,Alamat ng Bulkang Taal
Alamat,Long,Matulungin,Alamat ng Langaw
Alamat,Long,Kabayanihan,Ang Alamat ng Mansanas
Alamat,Long,Pagkakaibigan,Alamat ng Butanding
Alamat,Long,Kasipagan,Alamat ng Buwitre
Alamat,Long,Kabayanihan,Alamat ng Alitaptap
Alamat,Long,Pagkakaibigan,Alamat ng Palaka
Alamat,Long,Matulungin,Alamat ng Unang Matsing
Alamat,Long,Katapatan,Alamat ng Dalagang Bukid
Alamat,Long,Kasipagan,Ang Alamat ng Pipino
Alamat,Long,Matulungin,Alamat ng Pasig
Alamat,Long,Kabayanihan,Ang Alamat ng Buwaya
Alamat,Long,Pagkakaibigan,Ang Alamat ng Rambutan
Alamat,Long,Katapatan,Alamat ng Apoy
Alamat,Long,Kasipagan,Ang Alamat ng Talon ng Maria Cristina
Alamat,Long,Kabayanihan,Alamat ng Sayote
Alamat,Long,Matulungin,"Ang Alamat ng Atis"
Alamat,Long,Pagkakaibigan,Alamat ng Paniki
Pabula,Long,Katapatan,Ang Paniki at ang mga Ibon
Alamat,Long,Kasipagan,Alamat ng Salagubang
Pabula,Long,Matulungin,Ang Salagubang at ang Langgam
Kwentong Bayan,Long,Kabayanihan,Ang Kwento ng Kuba
Alamat,Long,Pagkakaibigan,Ang Alamat ng Yungib ng Kalayaan
Alamat,Long,Katapatan,Ang Alamat ng Masiglang Bayan
Alamat,Long,Matulungin,Alamat ng Bagyo
Kwentong Bayan,Long,Kabayanihan,Ang Mananahing Mahiwaga
Pabula,Long,Pagkakaibigan,Ang Elepante at ang Munting Gagamba
Pabula,Long,Kasipagan,Ang Gagamba at ang Langaw
Alamat,Long,Kabayanihan,Ang Alamat ng Gumamela
Pabula,Long,Pagkakaibigan,Ang Manok at ang Inahin
Alamat,Long,Matulungin,Ang Kabayo at ang Pagong
Alamat,Long,Katapatan,Ang Butiki at ang Ibon
Alamat,Long,Kasipagan,Si Haring Tamaraw at si Daga
Pabula,Long,Matulungin,Sino ang magtatali ng Kuliling?
Pabula,Long,Kabayanihan,Ang Aral ng Damo
Kwentong Bayan,Long,Pagkakaibigan,Ang Inang Matapobre
Pabula,Long,Katapatan,Si Kalabaw at si Tagak
Kwentong Bayan,Long,Kasipagan,Nakalbo ang Datu
Kwentong Bayan,Long,Kabayanihan,Pambansang Pintor
Kwentong Bayan,Long,Matulungin,Ang Dalawang Mangtotroso at ang Engkantada
Alamat,Long,Pagkakaibigan,Bakit itim ang kulay ng Uwak?
Alamat,Long,Katapatan,Ang Batik ng Buwan
Kwentong Bayan,Long,Kasipagan,Naging Sultan si Pilandok
Alamat,Long,Matulungin,Sina Adlaw at Bulan
Pabula,Long,Kabayanihan,Ang Manok at ang Uwak
Kwentong Bayan,Long,Pagkakaibigan,Ang Batang sumigaw ng Lobo
Pabula,Long,Kabayanihan,Ang Nawawalang Kuwintas
Kwentong Bayan,Long,Pagkakaibigan,Ang Kwento ni Kidlat
Alamat,Long,Matulungin,Ang Alamat ng Uod
Pabula,Long,Katapatan,Ang Uod at ang Alitaptap
Kwentong Bayan,Long,Kasipagan,Ang Mahiwagang Prutas ng Bundok
Alamat,Long,Matulungin,Ang Alamat ng Ulap
Kwentong Bayan,Long,Kabayanihan,Ang Duwendeng Mapaglaro
Kwentong Bayan,Long,Pagkakaibigan,Ang Kwento ng Mahiwagang Sako
Alamat,Long,Katapatan,Alamat ng Kalabaw
Pabula,Long,Kasipagan,Ang Kalabaw at ang Langaw
Alamat,Long,Kabayanihan,Alamat ng Kuwago
Pabula,Long,Matulungin,Ang Kuwago at ang Maliliit na Ibon
Alamat,Long,Pagkakaibigan,Alamat ng Tubo
Alamat,Long,Katapatan,Ang Alamat ng Korona
Kwentong Bayan,Long,Kasipagan,Ang Hari at ang Mahirap na Magsasaka
Kwentong Bayan,Long,Matulungin,Ang Matandang Ermitanyo at ang Mahiwagang Puno
Kwentong Bayan,Long,Kabayanihan,Ang Dakilang Kaibigan
Kwentong Bayan,Short,Pagkakaibigan,Ang Lalaki at ang kaniyang mga Niyog
Kwentong Bayan,Long,Katapatan,Ang Ginintuang Tuntunin
Kwentong Bayan,Long,Kasipagan,Si Ana at ang Gatas
Alamat,Long,Katapatan,Alamat ng Mais
Kwentong Bayan,Long,Kabayanihan,Ang Tunay na Yaman
Pabula,Long,Matulungin,Ang Buaya at ang tusong Matsing
Kwentong Bayan,Long,Pagkakaibigan,Ang Pambihirang Sombrero
Kwentong Bayan,Long,Kasipagan,"Si Maya, Mamaya Na"
Kwentong Bayan,Long,Katapatan,Si Nina at ang Bayan ng Daldalina
Alamat,Long,Matulungin,Kung Bakit Pulo-pulo ang Pilipinas
Alamat,Long,Kabayanihan,Saan Nagmula ang Lawa ng Sampalok?
Alamat,Long,Pagkakaibigan,"Saan Nanggaling ang Araw, Buwan at mga Bituin?"
Alamat,Long,Kasipagan,Ang Alamat ng mga Hayop na Nagkapakpak upang Lumigaya ang mga Bulaklak
Alamat,Long,Kabayanihan,Alamat ng Palendag
Alamat,Long,Pagkakaibigan,Kung Bakit sa Gabi Lumilipad ang Paniki
Alamat,Long,Matulungin,Alamat ng Pusa at Uwak
Alamat,Long,Katapatan,Alamat ng Suso
Alamat,Long,Kasipagan,Alamat Bakit Maluwag ang Balat ng Baka?
Alamat,Long,Matulungin,Kung Bakit Umaawit ang Lamok sa Labas ng Iyong Taynga
Alamat,Long,Kabayanihan,Ang Alamat ng Bayang Lumubog sa Baha
Alamat,Long,Pagkakaibigan,Ang Alamat ng Puno ng Pino
Alamat,Long,Katapatan,Ang Alamat ng Bundok Pinatubo
Alamat,Long,Kasipagan,"Alamat ng Bundok Banahaw"
Alamat,Long,Kabayanihan,Alamat ng Bayan ng Tiaong sa Probinsya ng Quezon
Alamat,Long,Matulungin,"Ang Pinagmulan ng Kodla ng mga Ifugao"
Alamat,Long,Pagkakaibigan,"Alamat ng Hagdan-Hagdang Palayan sa Ifugao"
Alamat,Long,Katapatan,"Alamat ng Sampung Datu ng Borneo"
Alamat,Long,Kasipagan,Alamat ng Guyabano
Alamat,Long,Matulungin,Alamat ng Suklay
Alamat,Long,Kabayanihan,Alamat ng Upuan
Alamat,Long,Pagkakaibigan,Alamat ng Gitara
Alamat,Long,Katapatan,Alamat ng Sapatos
Alamat,Long,Kasipagan,Alamat ng Kutsilyo
Alamat,Long,Katapatan,Alamat ng Paminta
Alamat,Long,Kabayanihan,Alamat ng Lipstik
Alamat,Long,Matulungin,Alamat ng Kandila
Alamat,Long,Pagkakaibigan,Alamat ng Kotse
Alamat,Long,Kasipagan,Alamat ng Pera
Alamat,Long,Katapatan,Alamat ng Paso
Alamat,Long,Matulungin,Alamat ng Walis Tambo
Alamat,Long,Kabayanihan,Alamat ng Tsinelas
Alamat,Long,Pagkakaibigan,Alamat Ng Daga
Alamat,Long,Kasipagan,Alamat ng Kwintas
Alamat,Long,Matulungin,Alamat  ng Bato
Pabula,Long,Kabayanihan,Si Kalabaw at ang Mabait na Magsasaka
Alamat,Long,Pagkakaibigan,Ang Alamat ng Perlas ng Silanganan
Pabula,Long,Kasipagan,Si Pagong at ang Batang Matulungin
Alamat,Long,Kabayanihan,Ang Alamat ng Puno ng Niyog
Kwentong Bayan,Long,Pagkakaibigan,Ang Mahiwagang Kabibe
Pabula,Long,Matulungin,Si Tandang at ang Itlog ng Ginto
Alamat,Long,Katapatan,Ang Alamat ng Malapad na Ilog
Kwentong Bayan,Long,Kasipagan,Si Malakas at si Maganda
Kwentong Bayan,Long,Matulungin,Si Mariang Sinukuan
Alamat,Long,Kabayanihan,Ang Alamat ng Bulalakaw
Kwentong Bayan,Long,Pagkakaibigan,Ang Mahiwagang Lawa
Alamat,Long,Katapatan,Ang Alamat ng Bundok Makiling
Kwentong Bayan,Long,Kasipagan,Ang Kwento ng Puno ng Balete
Kwentong Bayan,Long,Kabayanihan,Si Juan at ang Higanteng Bundok
Kwentong Bayan,Long,Matulungin,Ang Nawawalang Araw
Pabula,Long,Pagkakaibigan,Si Pagong at si Matsing
Pabula,Long,Katapatan,Ang Agila at ang Kalapati
Pabula,Long,Kasipagan,Ang Agila at ang Salagubang
Kwentong Bayan,Long,Matulungin,Ang Anino ng Buriko
Pabula,Long,Kabayanihan,Ang Asno at Ang Lobo
Pabula,Long,Pagkakaibigan,Ang Aso at Ang Leyon
Pabula,Short,Katapatan,Ang Asong Bundok at Ang Tagak
Pabula,Long,Matulungin,Ang Barumbadong Gansa
Pabula,Long,Kabayanihan,Ang Bata at Ang Lobo
Pabula,Long,Pagkakaibigan,Ang Biik at Ang mga Tupa
Pabula,Long,Kasipagan,Ang Duwag na Paniki
Pabula,Long,Kabayanihan,Ang Gansang Nangitlog ng ginto
Pabula,Long,Pagkakaibigan,Ang Kabayong Nagdamit Leyon
Pabula,Long,Matulungin,Ang Kasal ng dalawang Daga
Pabula,Long,Katapatan,Ang Kuneho at Ang Aso
Pabula,Long,Kasipagan,Ang Lamok at Ang Leyon
Alamat,Long,Matulungin,Alamat ng Sitaw
Alamat,Long,Kabayanihan,Alamat ng Kangkong
Pabula,Short,Pagkakaibigan,Ang Kuwento ni Binibining Repolyo
Alamat,Long,Katapatan,Alamat ng Kabute
Alamat,Long,Kasipagan,Ang Alamat ng Kabute
Alamat,Long,Kabayanihan,Alamat ng Labanos
Alamat,Long,Matulungin,Alamat ng Kamote
Alamat,Long,Pagkakaibigan,Alamat ng Pambura
Alamat,Long,Katapatan,Alamat ng Parol
Alamat,Long,Kasipagan,Alamat ng Isandaang mga Pulo
Kwentong Bayan,Long,Matulungin,Ang Bagong Kaibigan
Pabula,Short,Kabayanihan,Ang Uwak na Nagpanggap
Alamat,Long,Pagkakaibigan,Alamat ng Dahlia
Alamat,Long,Matulungin,Alamat ng Pilak
Alamat,Long,Katapatan,Alamat ng Talong
Kwentong Bayan,Long,Kasipagan,"Si Usman, Ang Alipin"
Alamat,Long,Matulungin,Alamat ng Kapre
Kwentong Bayan,Long,Kabayanihan,Ang Pag-ibig ni Datu Puti
Alamat,Long,Pagkakaibigan,Alamat ng Santol
Alamat,Long,Katapatan,Alamat ng Bariw
Alamat,Long,Kasipagan,Alamat ni Daragang Magayon
Alamat,Long,Kabayanihan,Alamat ng Garapon
Alamat,Long,Matulungin,Alamat ng Asin
Alamat,Long,Pagkakaibigan,Alamat ng Santacruzan
Alamat,Long,Katapatan,Alamat ng Kalesa
Alamat,Long,Kasipagan,Alamat ng Pagdiriwang ng Magayon
Alamat,Long,Matulungin,Alamat ng Pagdiriwang ng Sinulog
Alamat,Long,Kabayanihan,Alamat ng Lawa ng Sebu
Alamat,Long,Pagkakaibigan,Alamat ng Paru-parong Bukid
Alamat,Long,Katapatan,Alamat ng Oso
Alamat,Long,Kasipagan,Alamat ng Bukal ng Tiwi
Alamat,Long,Katapatan,Alamat ng Dama de Noche
Alamat,Long,Kabayanihan,Alamat ng Lawa ng Bulusan
Alamat,Long,Matulungin,Alamat ng Lanao del Sur
Alamat,Long,Pagkakaibigan,Alamat ng Zamboanga
Pabula,Long,Kasipagan,Ang Langaw at Ang Baka
Pabula,Long,Katapatan,Ang Langgam at Ang Kalapati
Pabula,Long,Matulungin,Ang Lobo at Ang Kabayo
Pabula,Short,Kabayanihan,Ang Lobo at Ang maliit na Kuneho
Pabula,Long,Pagkakaibigan,Ang Lobo at ang mga ubas
Pabula,Long,Kasipagan,Ang Lobo at Ang Tupa
Pabula,Long,Kabayanihan,Ang Lobo at Ang Uwak
Pabula,Long,Pagkakaibigan,Ang Lobo sa kasuotang Tupa
Pabula,Long,Matulungin,Ang Lobo
Pabula,Long,Katapatan,Ang Lobong sumabit sa mga tinik
Pabula,Long,Kasipagan,Ang Mag-Amang manggigiling at Ang Buriko
Pabula,Long,Matulungin,Ang Mag-Amang Palaka
Pabula,Long,Kabayanihan,Ang Mag-Inang Alimasag
Pabula,Long,Pagkakaibigan,Ang Mambubuyog
Pabula,Long,Katapatan,Ang Mangangambing at Ang Kambing
Pabula,Long,Kasipagan,Ang Manlalakbay at Ang Aso
Pabula,Long,Kabayanihan,Ang Mapagkunwaring Palaka
Pabula,Long,Matulungin,Ang Maya at Ang Magsasaka
Pabula,Long,Pagkakaibigan,Ang Mayabang na Pulang Tandang
Pabula,Long,Katapatan,Ang Musikerong Mangingisda
Kwentong Bayan,Long,Kasipagan,Ang Kwento ni Mabuti
Alamat,Long,Matulungin,Ang Alamat ng Kutsara’t Tinidor
Alamat,Long,Kabayanihan,Ang Alamat ng Pamaypay
Alamat,Long,Pagkakaibigan,Alamat ng Payong
Pabula,Long,Katapatan,Ang Basahan
Pabula,Long,Kasipagan,Ang Tabo
Alamat,Long,Katapatan,Ang Alamat ng Lamesa
Kwentong Bayan,Long,Kabayanihan,Ang Kulambo
Kwentong Bayan,Long,Matulungin,Ang Libro ni Anna
Pabula,Long,Pagkakaibigan,Ang Kaibigan ko
Kwentong Bayan,Long,Kasipagan,Ang Bawat Kwento
Kwentong Bayan,Long,Katapatan,Ang Batang Mabait
Kwentong Bayan,Long,Matulungin,Ang Paborito Kong Palabas
Kwentong Bayan,Long,Kabayanihan,Ang Aking Pamilya
Kwentong Bayan,Long,Pagkakaibigan,Ang Aking Alagang Aso
Kwentong Bayan,Long,Kasipagan,Ang Bawat Tao
Pabula,Long,Matulungin,Ang Huling Langgam
Kwentong Bayan,Long,Kabayanihan,Ang Munting Regalo
Pabula,Long,Pagkakaibigan,Ang Kabayo sa Kwadra
Kwentong Bayan,Long,Kasipagan,Bawat Pangarap
Pabula,Long,Kabayanihan,Ang Nawawalang Bituin
Kwentong Bayan,Long,Pagkakaibigan,Ang Kwento ni Mariang Makiling
Pabula,Long,Matulungin,Si Uwak at si Pagong
Kwentong Bayan,Long,Katapatan,Ang Mahiwagang Banga
Alamat,Long,Kasipagan,Ang Alamat ng Ilog Pasig
Pabula,Long,Matulungin,Si Saging at si Ulan
Alamat,Long,Kabayanihan,Ang Alamat ng Ginto sa Ilalim ng Lupa
Pabula,Long,Pagkakaibigan,Si Kidlat at si Buhawi
Alamat,Long,Katapatan,Ang Alamat ng Prinsesa ng Karagatan
Alamat,Long,Kasipagan,Ang Alamat ng Lawa ng Laguna
Alamat,Long,Kabayanihan,Ang Alamat ng Pagong at Pagaspas
Pabula,Long,Matulungin,Si Matsing at ang Bayabas
Kwentong Bayan,Long,Pagkakaibigan,Ang Mahiwagang Sinukuan
Alamat,Long,Katapatan,Ang Alamat ng Likas na Yaman
Kwentong Bayan,Long,Kasipagan,Si Maya at ang Isang Payaso
Pabula,Long,Matulungin,Si Aling Pagong at ang Masunuring Mga Bata
Alamat,Long,Kabayanihan,Ang Alamat ng Puno ng Narra
Pabula,Long,Pagkakaibigan,Si Lawin at si Kalapati
Alamat,Long,Katapatan,Ang Alamat ng Perlas na Buhok
Alamat,Long,Matulungin,Ang Alamat ng Pulang Kabayo
Pabula,Long,Kabayanihan,Si Matsing at ang Mahiwagang Pananim
Alamat,Long,Pagkakaibigan,Ang Alamat ng Batong Hinulid
Kwentong Bayan,Long,Kasipagan,Ang Mahiwagang Kuweba ng Sierra Madre
Pabula,Long,Kabayanihan,Si Bibe at si Suso
Alamat,Long,Pagkakaibigan,Ang Alamat ng Halimaw sa Bundok Cristobal
Pabula,Long,Matulungin,Si Pusa at si Aso
Alamat,Long,Katapatan,Ang Alamat ng Pagsilang ng Buwan
Pabula,Long,Kasipagan,Si Adarna at ang Mahiwagang Awit
Alamat,Long,Matulungin,Ang Alamat ng Matamis na Santol
Alamat,Long,Kabayanihan,Ang Alamat ng Palasong Ginto
Pabula,Long,Pagkakaibigan,Si Daga at si Tipaklong
Alamat,Long,Katapatan,Ang Alamat ng Matandang Punong Acacia
Pabula,Long,Kasipagan,Si Kabayo at ang Bukang-Liwayway
Alamat,Long,Kabayanihan,Ang Alamat ng Matandang Balon
Pabula,Long,Matulungin,Si Palaka at si Uod
Pabula,Long,Pagkakaibigan,Si Buwaya at si Buho
Alamat,Long,Katapatan,Ang Alamat ng Wagas na Pag-ibig
Pabula,Long,Kasipagan,Si Paruparo at si Bubuyog
Alamat,Long,Matulungin,Ang Alamat ng Puno ng Mangga
Alamat,Long,Kabayanihan,Bakit May Ulap
Pabula,Short,Pagkakaibigan,Ang Matatalinong Ugat
Pabula,Short,Kabayanihan,Ang Manok na Naglayag
Alamat,Long,Pagkakaibigan,Ang Pinagmulan ng Unang Isda
Pabula,Long,Matulungin,Ang Pag-ibig ng Isang Langgam
Pabula,Long,Katapatan,Ang Manok na Naglayag
Kwentong Bayan,Long,Kasipagan,Ang Sirena ng Lawa
Kwentong Bayan,Long,Matulungin,Ang Buhay na Bahay
Kwentong Bayan,Long,Kabayanihan,Ang Kambal na Bukid
Kwentong Bayan,Long,Pagkakaibigan,Ang Puno ng Ginto
Pabula,Long,Katapatan,Ang Lobo at ang Pitong Kuting
Alamat,Long,Kasipagan,Ang Pagsilang ng Bulkan
Alamat,Long,Kabayanihan,Bakit May Kulay ang Langit
Kwentong Bayan,Long,Matulungin,Ang Pagkakaibigan ng Alipin at Prinsipe
Pabula,Long,Pagkakaibigan,Ang Lobo at ang Tatlong Bibe
Kwentong Bayan,Long,Katapatan,Ang Prinsipe at ang Malditang Prinsesa
Kwentong Bayan,Long,Kasipagan,Ang Oso at ang mga Turista
Pabula,Long,Matulungin,Ang Paboreal at Ang Heron
Pabula,Long,Kabayanihan,Ang Puti at Ang Itim na Kambing
Pabula,Short,Pagkakaibigan,Ang Sakim na Aso
Pabula,Long,Katapatan,Ang Tigre at Ang Langgam
